79093 20305
0 1691922 2782288
1 1700929 2791295
2 1702160 2792526
3 1801429 3018460
4 1800817 3017848
5 1801249 3018280
6 1801357 3018388
7 1743321 2732713
8 1747617 2737009
9 1762065 2751457
10 1142042 3425902
11 1141966 3425978
12 1131022 3436922
13 1123414 3444530
14 1112618 3455326
15 1111322 3456622
16 1108398 3459546
17 1106074 3461870
18 1105914 3462030
19 1105494 3462450
20 1295968 3271976
21 1295224 3272720
22 1293512 3274432
23 1293208 3274736
24 1289296 3278648
25 1287924 3280020
26 1276156 3291788
27 1274968 3292976
28 1274616 3293328
29 1048962 3518982
30 1048374 3519570
31 1045894 3522050
32 1040578 3527366
33 1040030 3527914
34 1033894 3534050
35 1030466 3537478
36 1030250 3537694
37 1015778 3552166
38 1014590 3553354
39 1011386 3556558
40 1006082 3561862
41 996246 3571698
42 995398 3572546
43 4074943 531248
44 4078151 534456
45 3831506 614775
46 3832770 613511
47 3834706 611575
48 3843342 602939
49 3849326 596955
50 3851302 594979
51 3852502 593779
52 3853178 593103
53 3853986 592295
54 3854634 591647
55 3854790 591491
56 3862542 583739
57 3873702 572579
58 3874674 571607
59 3882042 564239
60 3883842 562439
61 4067530 475231
62 4067881 475582
63 4067314 475015
64 4067971 475672
65 3337913 1707980
66 3339353 1709420
67 3341081 1711148
68 3855143 592156
69 3855414 592427
70 3856759 593772
71 4073563 858200
72 4073291 857928
73 4141981 926618
74 4142221 926858
75 3200326 1704788
76 3200506 1704968
77 3200806 1705268
78 3476897 1950392
79 3481185 1954680
80 3481697 1955192
81 3483081 1956576
82 3484905 1958400
83 3484993 1958488
84 3487493 1960988
85 3487761 1961256
86 3492649 1966144
87 3495449 1968944
88 3505221 1978716
89 3509269 1982764
90 3510145 1983640
91 3509262 1990296
92 3507438 1992120
93 3501554 1998004
94 3493038 1997500
95 3490142 1994604
96 3483930 1988392
97 3472862 1977324
98 3470850 1975312
99 3470514 1974976
100 3468294 1972756
101 3467626 1972088
102 3463214 1967676
103 3462494 1966956
104 3453506 1957968
105 3452950 1957412
106 3452074 1956536
107 3449234 1953696
108 3448446 1952908
109 3444126 1948588
110 3439826 1944288
111 3428810 1933272
112 3428682 1933144
113 3421894 1926356
114 3418158 1922620
115 3412006 1916468
116 3411098 1915560
117 3406630 1911092
118 3404910 1909372
119 3404730 1909192
120 3398906 1903368
121 3397190 1901652
122 3391386 1895848
123 3391250 1895712
124 3389478 1893940
125 3387338 1891800
126 3386194 1890656
127 3383354 1887816
128 3382810 1887272
129 3380186 1884648
130 3379430 1883892
131 3378350 1882812
132 3377926 1882388
133 3372210 1876672
134 3371950 1876412
135 3368618 1873080
136 3367810 1872272
137 3367290 1871752
138 3365810 1870272
139 3358234 1862696
140 3357918 1862380
141 3354526 1858988
142 3351742 1856204
143 3347094 1851556
144 3344446 1848908
145 3200542 1705004
146 3458539 1932034
147 3459215 1932710
148 3459763 1933258
149 3460999 1934494
150 3461731 1935226
151 3465363 1938858
152 3465439 1938934
153 3466279 1939774
154 3467163 1940658
155 3468227 1941722
156 2935814 1654114
157 2936073 1653855
158 2937253 1652675
159 2937699 1652229
160 2938008 1651920
161 3459791 1933286
162 3460561 1934056
163 3460805 1934300
164 3460956 1934451
165 3461251 1934746
166 3456051 1960513
167 3453045 1957507
168 2948222 1641717
169 2949050 1640889
170 2734722 2019712
171 2736396 2021386
172 2726756 2011746
173 2725730 2010720
174 2724836 2009826
175 2724374 2009364
176 2727036 2012026
177 2727684 2012674
178 2727725 2012715
179 2725391 2010381
180 2725504 2010494
181 2725977 2010967
182 2726378 2011368
183 2728288 2013278
184 2728329 2013319
185 2728990 2013980
186 2729302 2014292
187 2737126 2022116
188 2730681 2015671
189 2729769 2014759
190 2725187 2010177
191 2725755 2010745
192 2727281 2012271
193 2727219 2012209
194 2727198 2012188
195 2725845 2010835
196 2721743 2006733
197 2722775 2007765
198 2723959 2008949
199 2724223 2009213
200 2725262 2010252
201 2725382 2010372
202 2728598 2013588
203 2731303 2016293
204 2723514 2008504
205 2725656 2010646
206 2722422 2007412
207 2724212 2009202
208 2719066 2004056
209 2719354 2004344
210 2719522 2004512
211 2719570 2004560
212 2719834 2004824
213 2721548 2006538
214 2723008 2007998
215 2723110 2008100
216 2723480 2008470
217 2723840 2008830
218 2724662 2009652
219 2719484 2004474
220 2719638 2004628
221 2719648 2004638
222 2721993 2006983
223 2720481 2005471
224 2720902 2005892
225 2721303 2006293
226 2721714 2006704
227 2722135 2007125
228 2722937 2007927
229 2722096 2007086
230 2722270 2007260
231 2718092 2003082
232 2718472 2003462
233 2718667 2003657
234 2719047 2004037
235 2719132 2004122
236 2719091 2004081
237 2719009 2003999
238 2718999 2003989
239 2718516 2003506
240 2718506 2003496
241 2718455 2003445
242 2718167 2003157
243 2718157 2003147
244 2717869 2002859
245 2717818 2002808
246 2717726 2002716
247 2717696 2002686
248 2717686 2002676
249 2717625 2002615
250 2717574 2002564
251 2717482 2002472
252 2717246 2002236
253 2717307 2002297
254 2715277 2000267
255 2716254 2001244
256 2714980 1999970
257 2715760 2000750
258 2716024 2001014
259 2715939 2000929
260 2716853 2001843
261 2717933 2002923
262 2718161 2003151
263 2718278 2003268
264 2718206 2003196
265 2718374 2003364
266 2719968 2004958
267 2720821 2005811
268 2719116 2004106
269 2721521 2006511
270 2722240 2007230
271 2719988 2004978
272 2717436 2002426
273 2718060 2003050
274 2718264 2003254
275 2719404 2004394
276 2718167 2003157
277 2718660 2003650
278 2723585 2008575
279 2724593 2009583
280 2725385 2010375
281 2708189 1993179
282 2708630 1993620
283 2707709 1992699
284 2708450 1993440
285 2709486 1994476
286 2710306 1995296
287 2712819 1997809
288 2713359 1998349
289 2713779 1998769
290 2713479 1998469
291 2716893 2001883
292 2716473 2001463
293 2711166 1996156
294 2711396 1996386
295 2717226 2002216
296 2717262 2002252
297 2717593 2002583
298 2717708 2002698
299 2718118 2003108
300 2718506 2003496
301 2718707 2003697
302 2718894 2003884
303 2719225 2004215
304 2719318 2004308
305 2719692 2004682
306 2717126 2002116
307 2717432 2002422
308 2717738 2002728
309 2718080 2003070
310 2719268 2004258
311 2715129 2000119
312 2716875 2001865
313 2717451 2002441
314 2718243 2003233
315 2718405 2003395
316 2719215 2004205
317 2719852 2004842
318 2722444 2007434
319 2720529 2005519
320 2714355 1999345
321 2714517 1999507
322 2712783 1997773
323 2714169 1999159
324 2713203 1998193
325 2714589 1999579
326 2713635 1998625
327 2714013 1999003
328 2715003 1999993
329 2694757 1979747
330 2694973 1979963
331 2689471 1974461
332 2689561 1974551
333 2710327 1995317
334 2710679 1995669
335 2710801 1995791
336 2699541 1984531
337 2699742 1984732
338 2700778 1985768
339 2701109 1986099
340 2711561 1996551
341 2711693 1996683
342 2714234 1999224
343 2715002 1999992
344 2715437 2000427
345 2714933 1999923
346 2714441 1999431
347 2713949 1998939
348 2712953 1997943
349 2712545 1997535
350 2720742 2005732
351 2718786 2003776
352 2718618 2003608
353 2717994 2002984
354 2717742 2002732
355 2711381 1996371
356 2718439 2003429
